,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
146,14.73886861,0.01701844,0.01706951,0.21463592,0.21463436,3.38085938,3.38085938,161.37500000,161.37500000,0.00001085,0.00001085,0.00001356,0.00001356
147,14.83981291,0.01668275,0.01671971,0.21486290,0.21486183,3.38671875,3.38671875,161.75000000,161.75000000,0.00001114,0.00001114,0.00001393,0.00001393
148,14.94075722,0.01644674,0.01647263,0.21508513,0.21508442,3.39062500,3.39062500,162.00000000,162.00000000,0.00001141,0.00001141,0.00001427,0.00001427
149,15.04170152,0.01630416,0.01632168,0.21530396,0.21530348,3.39648438,3.39648438,162.37500000,162.37500000,0.00001169,0.00001169,0.00001464,0.00001464
150,15.14264583,0.01624763,0.01625910,0.21552059,0.21552026,3.40039062,3.40039062,162.75000000,162.75000000,0.00001198,0.00001198,0.00001500,0.00001500
151,15.24359014,0.01627220,0.01627944,0.21573609,0.21573587,3.40625000,3.40625000,163.12500000,163.12500000,0.00001226,0.00001226,0.00001537,0.00001537
152,15.34453444,0.01637845,0.01638286,0.21595159,0.21595141,3.41015625,3.41015625,163.50000000,163.50000000,0.00001255,0.00001255,0.00001574,0.00001574
153,15.44547875,0.01657522,0.01657782,0.21616824,0.21616811,3.41601562,3.41601562,163.87500000,163.87500000,0.00001285,0.00001285,0.00001613,0.00001613
154,15.54642305,0.01688134,0.01688281,0.21638747,0.21638735,3.41992188,3.41992188,164.25000000,164.25000000,0.00001316,0.00001316,0.00001653,0.00001653
155,15.64736736,0.01732606,0.01732686,0.21661101,0.21661091,3.42578125,3.42578125,164.62500000,164.62500000,0.00001348,0.00001348,0.00001694,0.00001694
156,15.74831166,0.01794805,0.01794847,0.21684110,0.21684100,3.43164062,3.43164062,165.00000000,165.00000000,0.00001383,0.00001383,0.00001738,0.00001738
157,15.84925597,0.01879219,0.01879240,0.21708047,0.21708038,3.43554688,3.43554688,165.37500000,165.37500000,0.00001419,0.00001419,0.00001784,0.00001784
158,15.95020027,0.01990402,0.01990412,0.21733241,0.21733232,3.44140625,3.44140625,165.87500000,165.87500000,0.00001457,0.00001457,0.00001834,0.00001834
159,16.05114458,0.02132315,0.02132319,0.21760061,0.21760051,3.44726562,3.44726562,166.37500000,166.37500000,0.00001499,0.00001499,0.00001889,0.00001889
160,16.15208889,0.02307536,0.02307538,0.21788904,0.21788894,3.45507812,3.45507812,166.87500000,166.87500000,0.00001546,0.00001546,0.00001949,0.00001949
161,16.25303319,0.02516536,0.02516537,0.21820164,0.21820153,3.46289062,3.46289062,167.50000000,167.50000000,0.00001598,0.00001598,0.00002016,0.00002016
162,16.35397750,0.02757195,0.02757195,0.21854201,0.21854191,3.47070312,3.47070312,168.12500000,168.12500000,0.00001657,0.00001657,0.00002092,0.00002092
163,16.45492180,0.03024665,0.03024665,0.21891311,0.21891300,3.47851562,3.47851562,168.75000000,168.75000000,0.00001721,0.00001721,0.00002176,0.00002176
