,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
44,9.90036354,0.02037171,0.02037655,0.00411535,0.00411632,1.04199219,1.04199219,1.59960938,1.59960938,0.00633206,0.00633340,4.30468750,4.30468750,231.93019031,231.97943708,154.64740000,154.64297798,0.31835000,0.31835000,1.62278325,1.62274538
45,10.01878128,0.54855611,0.54857463,0.10950556,0.10950925,1.04687500,1.04687500,1.60449219,1.60449219,0.16881527,0.16881669,4.33593750,4.33593750,6319.96409428,6320.01738199,155.39545848,155.39121621,0.32330751,0.32330751,1.65550852,1.65547160
46,10.47390338,0.09466670,0.09466386,0.01807668,0.01807614,1.15625000,1.15625000,1.72363281,1.72363281,0.02806773,0.02806618,5.13281250,5.13281250,1140.20905059,1140.14589192,174.55002897,174.54640488,0.43859482,0.43859482,2.49540889,2.49536548
47,10.93856944,0.79499351,0.79505887,0.14535603,0.14536798,1.17382812,1.17382812,1.74316406,1.74316406,0.22726996,0.22728289,5.27734375,5.27734375,10000.06387428,10000.63264652,177.78616837,177.78243262,0.45899749,0.45899749,2.64965779,2.64961098
48,10.97556147,0.54497768,0.54500305,0.09930748,0.09931210,1.31933594,1.31933594,1.90039062,1.90039062,0.15535491,0.15535821,6.62500000,6.62500000,6878.34765052,6878.49356376,203.98035576,203.97849396,0.66179911,0.66179911,4.21167852,4.21164550
49,12.31241302,0.01166718,0.01168625,0.00189519,0.00189829,1.41894531,1.41894531,2.00781250,2.00781250,0.00301918,0.00302404,7.74218750,7.74218750,165.19148795,165.45726545,220.19612437,220.19473100,0.83640575,0.83640575,5.53510154,5.53507118
50,12.68067247,0.08779658,0.08776441,0.01384731,0.01384223,1.42089844,1.42089844,2.00976562,2.00976562,0.02216167,0.02215299,7.75781250,7.75781250,1280.26103377,1279.75960124,220.57090623,220.57011771,0.83809376,0.83809376,5.55824851,5.55823128
51,13.08324133,0.43838967,0.43840798,0.06701545,0.06701825,1.43457031,1.43457031,2.02343750,2.02343750,0.10777651,0.10777828,7.92578125,7.92578125,6595.60030878,6595.70856822,223.45421390,223.45231354,0.86672107,0.86672107,5.78269295,5.78265025
52,13.94901478,0.30491971,0.30488969,0.04371918,0.04371487,1.50097656,1.50097656,2.09375000,2.09375000,0.07100997,0.07100118,8.84375000,8.84375000,4891.11301844,4890.50761474,237.75488642,237.75332804,1.01118724,1.01118724,6.92203213,6.92199250
53,14.13595718,1.21680729,1.21683809,0.17215775,0.17216211,1.54492188,1.54492188,2.14062500,2.14062500,0.28019581,0.28019580,9.48437500,9.48437500,19779.97263813,19779.97220579,247.82755907,247.82484260,1.11241500,1.11241500,7.73278953,7.73271525
54,14.77828393,0.24565786,0.24566778,0.03324579,0.03324713,1.71777344,1.71777344,2.32031250,2.32031250,0.05447807,0.05447889,12.54687500,12.54687500,4174.77753691,4174.84028026,284.95345528,284.95109197,1.60945733,1.60945733,11.50156407,11.50147975
55,15.44969577,0.17547781,0.17546504,0.02271602,0.02271437,1.75097656,1.75097656,2.35546875,2.35546875,0.03747546,0.03747179,13.25000000,13.25000000,3117.60292880,3117.29709515,292.18701068,292.18481325,1.73065186,1.73065186,12.38155226,12.38146986
56,15.92556204,0.72411390,0.72411903,0.09093731,0.09093796,1.77343750,1.77343750,2.37890625,2.37890625,0.15071131,0.15070856,13.78125000,13.78125000,13261.12337285,13260.88126791,297.47412012,297.47144769,1.81546211,1.81546211,12.96932631,12.96922316
57,16.60921493,0.62268058,0.62263154,0.07498013,0.07497423,1.86425781,1.86425781,2.47265625,2.47265625,0.12505206,0.12503905,16.01562500,16.01562500,11893.04575629,11891.80774273,318.98585472,318.98298302,2.19289462,2.19289462,15.62449134,15.62436655
58,16.72486767,0.55208018,0.55203623,0.06601908,0.06601382,1.93945312,1.93945312,2.55078125,2.55078125,0.11022115,0.11020958,18.14062500,18.14062500,10618.01924409,10616.90494382,337.11277233,337.10821883,2.55582333,2.55582333,18.04546874,18.04525225
59,16.73373093,0.51098021,0.51099450,0.06107188,0.06107359,2.00585938,2.00585938,2.61914062,2.61914062,0.10196971,0.10196998,20.25000000,20.25000000,9832.76194241,9832.78776498,352.50963180,352.50369664,2.91893005,2.91893005,20.33339598,20.33309183
60,18.05006245,0.66975057,0.66976664,0.07421033,0.07421211,2.06640625,2.06640625,2.68164062,2.68164062,0.12530934,0.12530917,22.40625000,22.40625000,13901.78163118,13901.76295845,366.19093716,366.18525900,3.29584122,3.29584122,22.57359672,22.57328586
61,18.21605190,1.10862985,1.10859727,0.12172010,0.12171652,2.14062500,2.14062500,2.75781250,2.75781250,0.20581106,0.20579980,25.43750000,25.43750000,23223.06200612,23221.79131110,384.70454129,384.69911212,3.82970174,3.82970174,25.59121818,25.59089769
62,18.40637402,0.60562699,0.60560748,0.06580622,0.06580410,2.26171875,2.26171875,2.88281250,2.88281250,0.11143954,0.11143313,31.23437500,31.23437500,12818.94030368,12818.20263155,413.78816572,413.78158270,4.85812982,4.85812982,30.91939207,30.91895666
63,18.49070679,0.63216245,0.63206500,0.06837623,0.06836569,2.32812500,2.32812500,2.95117188,2.95117188,0.11586975,0.11584895,34.90625000,34.90625000,13441.90634382,13439.49394974,428.99835244,428.99114305,5.52511851,5.52511851,34.06290399,34.06239832
64,18.99997942,0.59282291,0.59278816,0.06240248,0.06239882,2.39648438,2.39648438,3.02148438,3.02148438,0.10616992,0.10616101,39.18750000,39.18750000,12952.59444775,12951.50719860,444.38889808,444.37922404,6.30641937,6.30641937,37.44574104,37.44502289
65,19.38622561,1.01535485,1.01547499,0.10475013,0.10476253,2.45898438,2.45898438,3.08398438,3.08398438,0.17874534,0.17876196,43.62500000,43.62500000,22635.48329539,22637.58813526,458.73095294,458.72039628,7.12261200,7.12261200,40.76890505,40.76808087
66,20.31099504,0.87660616,0.87651568,0.08631839,0.08630948,2.56445312,2.56445312,3.19140625,3.19140625,0.14829758,0.14827852,52.09375000,52.09375000,20474.55074739,20471.91887601,482.77279385,482.76494290,8.70136897,8.70136897,46.72772774,46.72706367
67,22.20210668,0.50286297,0.50292177,0.04529867,0.04530397,2.65039062,2.65039062,3.28125000,3.28125000,0.07883118,0.07883840,60.43750000,60.43750000,12838.74298569,12839.91899822,503.53164869,503.52150795,10.26104609,10.26104609,52.01523579,52.01432515
68,23.33691373,0.19383739,0.19385013,0.01661208,0.01661318,2.69531250,2.69531250,3.32617188,3.32617188,0.02911596,0.02911714,65.37500000,65.37500000,5201.87167261,5202.08184092,516.12291580,516.11416176,11.18578593,11.18578593,55.06991189,55.06910204
69,23.35415978,0.21721256,0.21715635,0.01860162,0.01859680,2.71093750,2.71093750,3.34375000,3.34375000,0.03260644,0.03259718,67.43750000,67.43750000,5833.48184469,5831.82431733,521.13792406,521.12945590,11.58670425,11.58670425,56.31247127,56.31167893
70,23.53222676,0.20425971,0.20435016,0.01736000,0.01736769,2.73046875,2.73046875,3.36132812,3.36132812,0.03046295,0.03047567,69.56250000,69.56250000,5527.44452283,5529.75216725,526.70505763,526.69510547,11.98719025,11.98719025,57.67982924,57.67888623
71,23.62442219,0.19811197,0.19808743,0.01677179,0.01676972,2.74804688,2.74804688,3.37890625,3.37890625,0.02944715,0.02944276,71.75000000,71.75000000,5382.08532559,5381.28222577,531.92636921,531.91868391,12.40063985,12.40063985,58.98319158,58.98245508
72,24.26651674,0.02774876,0.02781421,0.00228700,0.00229239,2.76367188,2.76367188,3.39648438,3.39648438,0.00403072,0.00404012,73.75000000,73.75000000,774.33646469,776.14315992,536.96158855,536.95322750,12.78381348,12.78381348,60.16339650,60.16258771
73,24.29827406,0.69877604,0.69879990,0.05751652,0.05751848,2.76757812,2.76757812,3.39843750,3.39843750,0.10138869,0.10138958,74.06250000,74.06250000,19525.04711263,19525.21941797,537.68214035,537.67547060,12.84551620,12.84551620,60.44738105,60.44673359
74,24.39791190,0.02843763,0.02839771,0.00233115,0.00232788,2.82421875,2.82421875,3.45703125,3.45703125,0.00411168,0.00410580,81.93750000,81.93750000,797.85645843,796.71629938,555.54219566,555.53589542,14.33639526,14.33639526,64.84711075,64.84647830
